K1,K2,K3,average,difficulty,Total marks,Diffi-100,,K1,K2,K3,average,difficulty,Total marks,Diffi-100,,K1,K2,K3,average,difficulty,Total marks,Diffi-100,,K1,K2,K3,average,difficulty,Total marks,Diffi-100
,,,,,,,,12,11,59,53.93,293,82,357,,41,89,73,67.01,641,203,316,,,,,,,,
,,,,,,,,42,26,54,53.99,378,122,310,,48,54,52,67.09,466,154,303,,,,,,,,
,,,,,,,,0,90,0,54.06,270,90,300,,22,0,52,67.18,252,74,341,,,,,,,,
,,,,,,,,15,58,27,54.16,312,100,312,,0,62,28,67.19,298,90,331,,,,,,,,
,,,,,,,,15,35,36,54.3,279,86,324,,8,74,55,67.31,458,137,334,,,,,,,,
,,,,,,,,2,45,30,54.32,259,77,336,,9,34,13,67.42,172,56,307,,,,,,,,
,,,,,,,,52,22,8,54.34,202,82,246,,0,90,0,67.43,270,90,300,,,,,,,,
,,,,,,,,2,11,59,54.53,273,72,379,,0,72,18,67.44,288,90,320,,,,,,,,
,,,,,,,,2,16,38,54.8,204,56,364,,26,33,19,67.65,227,78,291,,,,,,,,
,,,,,,,,0,50,40,54.86,310,90,344,,4,54,16,67.76,234,74,316,,,,,,,,
,,,,,,,,0,34,56,55.03,326,90,362,,47,77,3,67.78,337,127,265,,,,,,,,
,,,,,,,,2,14,74,55.07,342,90,380,,27,0,63,67.84,306,90,340,,,,,,,,
,,,,,,,,2,40,48,55.08,316,90,351,,4,34,36,67.93,254,74,343,,,,,,,,
,,,,,,,,2,48,0,55.16,148,50,296,,28,32,75,68.15,452,135,335,,,,,,,,
,,,,,,,,0,37,45,55.17,291,82,355,,18,23,44,68.21,281,85,331,,,,,,,,
,,,,,,,,4,43,35,55.21,277,82,338,,4,6,69,68.61,302,79,382,,,,,,,,
,,,,,,,,12,38,30,55.22,258,80,323,,8,0,82,68.63,344,90,382,,,,,,,,
,,,,,,,,0,63,27,55.31,297,90,330,,8,0,82,68.64,344,90,382,,,,,,,,
,,,,,,,,25,11,75,55.32,383,111,345,,13,7,66,68.65,311,86,362,,,,,,,,
,,,,,,,,18,16,56,55.33,308,90,342,,12,64,0,68.67,216,76,284,,,,,,,,
,,,,,,,,30,60,65,55.41,500,155,323,,22,61,52,68.69,435,135,322,,,,,,,,
,,,,,,,,0,53,23,55.6,251,76,330,,50,0,0,68.7,100,50,200,,,,,,,,
,,,,,,,,20,11,27,55.67,181,58,312,,0,8,82,69.09,352,90,391,,,,,,,,
,,,,,,,,24,68,29,55.67,368,121,304,,0,36,40,69.28,268,76,353,,,,,,,,
,,,,,,,,0,62,28,55.69,298,90,331,,37,81,39,69.47,473,157,301,,,,,,,,
,,,,,,,,6,28,48,55.72,288,82,351,,4,33,54,69.56,323,91,355,,,,,,,,
,,,,,,,,25,52,44,55.81,382,121,316,,12,87,0,69.66,285,99,288,,,,,,,,
,,,,,,,,0,50,0,55.85,150,50,300,,0,0,50,69.8,200,50,400,,,,,,,,
,,,,,,,,2,34,40,55.89,266,76,350,,14,14,34,69.97,206,62,332,,,,,,,,
,,,,,,,,3,30,54,56.01,312,87,359,,4,46,0,70.04,146,50,292,,,,,,,,
,,,,,,,,12,42,30,56.02,270,84,321,,0,18,46,70.04,238,64,372,,,,,,,,
,,,,,,,,10,20,40,56.04,240,70,343,,39,2,73,70.08,376,114,330,,,,,,,,
,,,,,,,,26,33,19,56.06,227,78,291,,47,60,25,70.1,374,132,283,,,,,,,,
,,,,,,,,11,16,38,56.06,222,65,342,,40,26,59,70.24,394,125,315,,,,,,,,
,,,,,,,,10,0,60,56.09,260,70,371,,0,38,12,70.28,162,50,324,,,,,,,,
,,,,,,,,4,59,0,56.11,185,63,294,,33,7,61,70.31,331,101,328,,,,,,,,
,,,,,,,,0,57,24,56.13,267,81,330,,0,52,37,70.37,304,89,342,,,,,,,,
,,,,,,,,0,54,36,56.14,306,90,340,,3,48,67,70.48,418,118,354,,,,,,,,
,,,,,,,,10,64,16,56.2,276,90,307,,0,30,60,70.57,330,90,367,,,,,,,,
,,,,,,,,28,0,57,56.23,284,85,334,,29,1,11,70.57,105,41,256,,,,,,,,
,,,,,,,,16,63,26,56.25,325,105,310,,3,14,58,70.73,280,75,373,,,,,,,,
,,,,,,,,4,54,16,56.38,234,74,316,,17,58,47,70.88,396,122,325,,,,,,,,
,,,,,,,,2,34,40,56.4,266,76,350,,6,73,13,71.16,283,92,308,,,,,,,,
,,,,,,,,0,34,56,56.56,326,90,362,,0,89,0,71.17,267,89,300,,,,,,,,
,,,,,,,,2,56,32,56.7,300,90,333,,0,36,54,71.25,324,90,360,,,,,,,,
,,,,,,,,0,89,0,56.71,267,89,300,,12,64,0,71.46,216,76,284,,,,,,,,
,,,,,,,,8,38,44,56.71,306,90,340,,0,52,37,71.49,304,89,342,,,,,,,,
,,,,,,,,0,50,0,56.82,150,50,300,,0,50,0,71.57,150,50,300,,,,,,,,
,,,,,,,,0,28,42,56.94,252,70,360,,0,50,40,71.58,310,90,344,,,,,,,,
,,,,,,,,0,52,24,56.95,252,76,332,,9,45,19,71.59,229,73,314,,,,,,,,
,,,,,,,,2,34,40,57.09,266,76,350,,26,18,57,71.84,334,101,331,,,,,,,,
,,,,,,,,12,11,59,57.24,293,82,357,,2,30,58,71.85,326,90,362,,,,,,,,
,,,,,,,,0,46,49,57.25,334,95,352,,0,4,46,72.14,196,50,392,,,,,,,,
,,,,,,,,32,64,61,57.29,500,157,318,,0,30,60,72.15,330,90,367,,,,,,,,
