K1,K2,K3,average,difficulty,,,output,,,,,,
10,12,52,65.4,264,357,"264,65.4,",56.19064,,,,,,
0,36,54,71.25,324,360,"324,71.25,",68.632794,,,,,,
0,50,0,53.86,150,300,"150,53.86,",39.30935,,,,,,
0,28,42,62.27,252,360,"252,62.27,",53.381062,,,,,,
4,54,16,56.38,234,316,"234,56.38,",57.571762,,,,,,
14,14,34,69.97,206,332,"206,69.97,",47.487676,,,,,,
0,62,28,55.69,298,331,"298,55.69,",69.655478,,,,,,
0,50,0,87.38,150,300,"150,87.38,",39.30935,,,,,,
0,28,42,56.94,252,360,"252,56.94,",53.381062,,,,,,
4,54,16,67.76,234,316,"234,67.76,",57.571762,,,,,,
14,14,34,78.76,206,332,"206,78.76,",47.487676,,,,,,
0,62,28,67.19,298,331,"298,67.19,",69.655478,,,,,,
4,46,0,70.04,146,292,"146,70.04,",39.332618,,,,,,
26,33,19,67.65,227,291,"227,67.65,",60.726482,,,,,,
18,16,56,31.18,308,342,"308,31.18,",68.658832,,,,,,
0,46,49,57.25,334,352,"334,57.25,",72.760399,,,,,,
0,61,38,64.11,335,338,"335,64.11,",76.337821,,,,,,
2,34,40,56.4,266,350,"266,56.4,",58.188486,,,,,,
4,46,0,85.44,146,292,"146,85.44,",39.332618,,,,,,
26,33,19,60.14,227,291,"227,60.14,",60.726482,,,,,,
18,16,56,55.33,308,342,"308,55.33,",68.658832,,,,,,
0,46,49,43.59,334,352,"334,43.59,",72.760399,,,,,,
0,61,38,62.14,335,338,"335,62.14,",76.337821,,,,,,
2,34,40,55.89,266,350,"266,55.89,",58.188486,,,,,,
4,46,0,79.06,146,292,"146,79.06,",39.332618,,,,,,
26,33,19,56.06,227,291,"227,56.06,",60.726482,,,,,,
18,16,56,50.09,308,342,"308,50.09,",68.658832,,,,,,
0,46,49,47.85,334,352,"334,47.85,",72.760399,,,,,,
0,61,38,53.06,335,338,"335,53.06,",76.337821,,,,,,
2,34,40,47.01,266,350,"266,47.01,",58.188486,,,,,,
4,46,0,72.42,146,292,"146,72.42,",39.332618,,,,,,
0,37,45,61.1,291,355,"291,61.1,",62.697304,,,,,,
4,54,32,25.48,298,331,"298,25.48,",69.52141,,,,,,
0,34,56,56.56,326,362,"326,56.56,",68.554126,,,,,,
0,53,23,57.44,251,330,"251,57.44,",58.84553,,,,,,
2,34,40,58.38,266,350,"266,58.38,",58.188486,,,,,,
4,46,0,76.33,146,292,"146,76.33,",39.332618,,,,,,
0,37,45,55.17,291,355,"291,55.17,",62.697304,,,,,,
4,54,32,50.86,298,331,"298,50.86,",69.52141,,,,,,
0,34,56,51.01,326,362,"326,51.01,",68.554126,,,,,,
0,53,23,55.6,251,330,"251,55.6,",58.84553,,,,,,
2,34,40,58.35,266,350,"266,58.35,",58.188486,,,,,,
4,46,0,82.74,146,292,"146,82.74,",39.332618,,,,,,
0,37,45,44.4,291,355,"291,44.4,",62.697304,,,,,,
4,54,32,47.83,298,331,"298,47.83,",69.52141,,,,,,
0,34,56,55.03,326,362,"326,55.03,",68.554126,,,,,,
0,53,23,48.65,251,330,"251,48.65,",58.84553,,,,,,
2,34,40,57.09,266,350,"266,57.09,",58.188486,,,,,,
2,48,0,66.57,148,296,"148,66.57,",39.320984,,,,,,
2,45,30,57.65,259,336,"259,57.65,",59.368013,,,,,,
8,38,44,39.45,306,340,"306,39.45,",69.07267,,,,,,
0,8,82,69.09,352,391,"352,69.09,",67.531442,,,,,,
0,52,23,60.31,248,331,"248,60.31,",58.059343,,,,,,
4,39,38,58.85,277,342,"277,58.85,",62.209723,,,,,,
2,48,0,81.01,148,296,"148,81.01,",39.320984,,,,,,
2,45,30,49,259,336,"259,49,",59.368013,,,,,,
8,38,44,61.68,306,340,"306,61.68,",69.07267,,,,,,
0,8,82,53.37,352,391,"352,53.37,",67.531442,,,,,,
0,52,23,61.79,248,331,"248,61.79,",58.059343,,,,,,
4,39,38,50.73,277,342,"277,50.73,",62.209723,,,,,,
2,48,0,72.54,148,296,"148,72.54,",39.320984,,,,,,
2,45,30,54.32,259,336,"259,54.32,",59.368013,,,,,,
8,38,44,56.71,306,340,"306,56.71,",69.07267,,,,,,
0,8,82,53.62,352,391,"352,53.62,",67.531442,,,,,,
0,52,23,59.65,248,331,"248,59.65,",58.059343,,,,,,
4,39,38,61.57,277,342,"277,61.57,",62.209723,,,,,,
0,52,37,71.49,304,342,"304,71.49,",68.515285,,,,,,
12,64,0,71.46,216,284,"216,71.46,",59.820016,,,,,,
0,69,8,73.22,239,310,"239,73.22,",60.221727,,,,,,
9,53,28,76.98,289,321,"289,76.98,",69.707831,,,,,,
15,35,36,50.63,279,324,"279,50.63,",66.283313,,,,,,
0,41,48,57.38,315,354,"315,57.38,",68.082611,,,,,,
0,52,37,70.37,304,342,"304,70.37,",68.515285,,,,,,
12,64,0,68.67,216,284,"216,68.67,",59.820016,,,,,,
0,69,8,62.18,239,310,"239,62.18,",60.221727,,,,,,
9,53,28,81.05,289,321,"289,81.05,",69.707831,,,,,,
15,35,36,54.3,279,324,"279,54.3,",66.283313,,,,,,
0,41,48,50.7,315,354,"315,50.7,",68.082611,,,,,,
0,53,34,73.4,295,339,"295,73.4,",67.060913,,,,,,
4,59,0,57.59,185,294,"185,57.59,",49.553049,,,,,,
0,8,69,72.89,300,390,"300,72.89,",57.822353,,,,,,
4,33,54,85.09,323,355,"323,85.09,",69.442249,,,,,,
6,28,48,63.34,288,351,"288,63.34,",62.614204,,,,,,
0,57,24,56.13,267,330,"267,56.13,",62.737131,,,,,,
0,53,34,62.21,295,339,"295,62.21,",67.060913,,,,,,
4,59,0,56.11,185,294,"185,56.11,",49.553049,,,,,,
0,8,69,52.77,300,390,"300,52.77,",57.822353,,,,,,
4,33,54,69.56,323,355,"323,69.56,",69.442249,,,,,,
6,28,48,55.72,288,351,"288,55.72,",62.614204,,,,,,
0,57,24,52.12,267,330,"267,52.12,",62.737131,,,,,,
0,36,40,75.89,268,353,"268,75.89,",58.176852,,,,,,
0,66,0,62.13,198,300,"198,62.13,",51.888342,,,,,,
0,0,77,64.54,308,400,"308,64.54,",57.507681,,,,,,
4,19,67,63.49,333,370,"333,63.49,",68.14472,,,,,,
10,44,40,61.17,312,332,"312,61.17,",72.386388,,,,,,xxxxx
4,58,28,60.24,294,327,"294,60.24,",69.678746,,,,,,
0,36,40,69.28,268,353,"268,69.28,",58.176852,,,,,,
0,66,0,63.7,198,300,"198,63.7,",51.888342,,,,,,
0,0,77,53.26,308,400,"308,53.26,",57.507681,,,,,,
4,19,67,82.33,333,370,"333,82.33,",68.14472,,,,,,
10,44,40,58.08,312,332,"312,58.08,",72.386388,,,,,,xxxxx
4,58,28,60.91,294,327,"294,60.91,",69.678746,,,,,,
0,0,50,66.17,200,400,"200,66.17,",37.34265,,,,,,
13,7,66,60.72,311,362,"311,60.72,",65.091659,,,,,,
4,20,66,73.6,332,369,"332,73.6,",68.184054,,,,,,
0,50,10,62.4,190,317,"190,62.4,",46.77788,,,,,,
22,0,52,77.41,252,341,"252,77.41,",56.260444,,,,,,
0,0,50,69.8,200,400,"200,69.8,",37.34265,,,,,,
13,7,66,68.65,311,362,"311,68.65,",65.091659,,,,,,
4,20,66,73.86,332,369,"332,73.86,",68.184054,,,,,,
0,50,10,60.25,190,317,"190,60.25,",46.77788,,,,,,
22,0,52,66.41,252,341,"252,66.41,",56.260444,,,,,,
0,0,50,75.97,200,400,"200,75.97,",37.34265,,,,,,
13,7,66,59.7,311,362,"311,59.7,",65.091659,,,,,,
4,20,66,63.98,332,369,"332,63.98,",68.184054,,,,,,
0,50,10,60.48,190,317,"190,60.48,",46.77788,,,,,,
22,0,52,67.18,252,341,"252,67.18,",56.260444,,,,,,
0,50,0,55.85,150,300,"150,55.85,",39.30935,,,,,,
2,40,48,58.83,316,351,"316,58.83,",68.880432,,,,,,
2,30,58,71.85,326,362,"326,71.85,",68.487092,,,,,,
0,20,50,58.63,260,371,"260,58.63,",53.06639,,,,,,
10,64,16,45.63,276,307,"276,45.63,",70.185656,,,,,,
0,50,0,53.7,150,300,"150,53.7,",39.30935,,,,,,
2,40,48,55.08,316,351,"316,55.08,",68.880432,,,,,,
2,30,58,78.55,326,362,"326,78.55,",68.487092,,,,,,
0,20,50,60.51,260,371,"260,60.51,",53.06639,,,,,,
10,64,16,52,276,307,"276,52,",70.185656,,,,,,
0,50,0,56.82,150,300,"150,56.82,",39.30935,,,,,,
2,40,48,48.47,316,351,"316,48.47,",68.880432,,,,,,
2,30,58,65.77,326,362,"326,65.77,",68.487092,,,,,,
0,20,50,59.84,260,371,"260,59.84,",53.06639,,,,,,
10,64,16,41.94,276,307,"276,41.94,",70.185656,,,,,,
0,0,50,45.83,200,400,"200,45.83,",37.34265,,,,,,
6,17,60,66.3,303,365,"303,66.3,",62.928383,,,,,,
4,6,69,72.3,302,382,"302,72.3,",59.417995,,,,,,
12,38,30,53.51,258,323,"258,53.51,",61.784744,,,,,,
10,64,16,51.19,276,307,"276,51.19,",70.185656,,,,,,
0,0,50,90.42,200,400,"200,90.42,",37.34265,,,,,,
6,17,60,57.31,303,365,"303,57.31,",62.928383,,,,,,
4,6,69,78.15,302,382,"302,78.15,",59.417995,,,,,,
12,38,30,61.6,258,323,"258,61.6,",61.784744,,,,,,
10,64,16,58.21,276,307,"276,58.21,",70.185656,,,,,,
0,0,50,59.75,200,400,"200,59.75,",37.34265,,,,,,
6,17,60,62.08,303,365,"303,62.08,",62.928383,,,,,,
4,6,69,68.61,302,382,"302,68.61,",59.417995,,,,,,
12,38,30,55.22,258,323,"258,55.22,",61.784744,,,,,,
10,64,16,56.2,276,307,"276,56.2,",70.185656,,,,,,
0,50,0,72.78,150,300,"150,72.78,",39.30935,,,,,,
8,52,30,65.91,292,324,"292,65.91,",69.623346,,,,,,
0,18,46,70.04,238,372,"238,70.04,",48.506604,,,,,,
4,2,58,53.56,246,384,"246,53.56,",48.057864,,,,,,
0,37,35,57.41,251,349,"251,57.41,",55.228774,,,,,,
0,50,0,60.03,150,300,"150,60.03,",39.30935,,,,,,
8,52,30,45.75,292,324,"292,45.75,",69.623346,,,,,,
0,18,46,59.88,238,372,"238,59.88,",48.506604,,,,,,
4,2,58,61.23,246,384,"246,61.23,",48.057864,,,,,,
0,37,35,50.36,251,349,"251,50.36,",55.228774,,,,,,
0,50,0,81.73,150,300,"150,81.73,",39.30935,,,,,,
10,57,23,64.11,283,314,"283,64.11,",69.910318,,,,,,
2,8,56,63.58,252,382,"252,63.58,",49.697272,,,,,,
11,16,38,56.06,222,342,"222,56.06,",49.67145,,,,,,
0,36,54,60.72,324,360,"324,60.72,",68.632794,,,,,,
0,50,0,63.4,150,300,"150,63.4,",39.30935,,,,,,
10,57,23,42.02,283,314,"283,42.02,",69.910318,,,,,,
2,8,56,64.04,252,382,"252,64.04,",49.697272,,,,,,
11,16,38,58.63,222,342,"222,58.63,",49.67145,,,,,,
0,36,54,58.52,324,360,"324,58.52,",68.632794,,,,,,
0,50,0,42.75,150,300,"150,42.75,",39.30935,,,,,,
10,24,51,59.18,296,348,"296,59.18,",64.878031,,,,,,
2,40,16,51.2,188,324,"188,51.2,",44.981136,,,,,,
10,0,60,61.3,260,371,"260,61.3,",52.73122,,,,,,
0,63,28,57.32,301,331,"301,57.32,",70.441665,,,,,,
0,50,0,52.71,150,300,"150,52.71,",39.30935,,,,,,
10,24,51,36.25,296,348,"296,36.25,",64.878031,,,,,,
